wlo,whi,flux
# keV,keV,phot/cm^2/s/bin
   0.18001,    0.18003,   1.3701e-10
   0.18003,    0.18004,   9.1402e-11
   0.18004,    0.18005,   8.8457e-11
   0.18005,    0.18007,   8.8872e-11
   0.18007,    0.18008,   9.0600e-11
   0.18008,    0.18010,   9.1617e-11
   0.18010,    0.18011,   9.0131e-11
   0.18011,    0.18013,   1.0138e-10
   0.18013,    0.18014,   2.1246e-10
   0.18014,    0.18016,   3.7817e-10
   0.18016,    0.18017,   2.7944e-10
   0.18017,    0.18018,   1.7319e-10
   0.18018,    0.18020,   2.2538e-10
   0.18020,    0.18021,   1.9379e-10
   0.18021,    0.18023,   1.0923e-10
   0.18023,    0.18024,   9.1028e-11
   0.18024,    0.18026,   8.9051e-11
   0.18026,    0.18027,   8.9029e-11
   0.18027,    0.18029,   9.1764e-11
   0.18029,    0.18030,   1.0132e-10
   0.18030,    0.18032,   1.1073e-10
   0.18032,    0.18033,   1.0453e-10
   0.18033,    0.18034,   9.3235e-11
   0.18034,    0.18036,   8.9725e-11
   0.18036,    0.18037,   9.0890e-11
   0.18037,    0.18039,   1.1030e-10
   0.18039,    0.18040,   1.4132e-10
   0.18040,    0.18042,   1.6829e-10
   0.18042,    0.18043,   3.5508e-10
   0.18043,    0.18045,   3.8224e-10
   0.18045,    0.18046,   1.6247e-10
   0.18046,    0.18048,   9.2323e-11
   0.18048,    0.18049,   8.8242e-11
   0.18049,    0.18050,   8.8340e-11
   0.18050,    0.18052,   8.8891e-11
   0.18052,    0.18053,   9.4832e-11
   0.18053,    0.18055,   1.3544e-10
   0.18055,    0.18056,   1.6769e-10
   0.18056,    0.18058,   1.1971e-10
   0.18058,    0.18059,   9.4304e-11
   0.18059,    0.18061,   1.3146e-10
   0.18061,    0.18062,   3.3684e-10
   0.18062,    0.18064,   4.2695e-10
   0.18064,    0.18065,   1.9308e-10
   0.18065,    0.18066,   9.5365e-11
   0.18066,    0.18068,   8.9958e-11
   0.18068,    0.18069,   1.5040e-10
   0.18069,    0.18071,   7.3207e-10
   0.18071,    0.18072,   1.8757e-09
   0.18072,    0.18074,   1.6389e-09
   0.18074,    0.18075,   9.1486e-10
   0.18075,    0.18077,   4.5749e-10
   0.18077,    0.18078,   2.4730e-10
   0.18078,    0.18080,   2.9463e-10
   0.18080,    0.18081,   1.9257e-10
   0.18081,    0.18082,   1.1368e-10
   0.18082,    0.18084,   2.0510e-10
   0.18084,    0.18085,   3.3189e-09
   0.18085,    0.18087,   2.1446e-08
   0.18087,    0.18088,   3.1641e-08
   0.18088,    0.18090,   1.0625e-08
   0.18090,    0.18091,   8.5846e-10
   0.18091,    0.18093,   1.0011e-10
   0.18093,    0.18094,   8.7959e-11
   0.18094,    0.18096,   8.7888e-11
   0.18096,    0.18097,   8.7879e-11
   0.18097,    0.18098,   8.7869e-11
   0.18098,    0.18100,   8.7860e-11
   0.18100,    0.18101,   8.7851e-11
   0.18101,    0.18103,   8.7842e-11
   0.18103,    0.18104,   8.7833e-11
   0.18104,    0.18106,   8.7824e-11
   0.18106,    0.18107,   8.7854e-11
   0.18107,    0.18109,   9.3548e-11
   0.18109,    0.18110,   2.7847e-10
   0.18110,    0.18112,   1.5794e-09
   0.18112,    0.18113,   3.0196e-09
   0.18113,    0.18115,   1.6227e-09
   0.18115,    0.18116,   3.1622e-10
